x,y
202,249
203,28
203,31
203,72
203,74
203,172
203,174
203,247
203,249
204,29
204,31
204,72
204,75
204,172
204,174
204,246
204,248
205,29
205,32
205,72
205,73
205,75
205,172
205,174
205,246
205,248
206,30
206,32
206,73
206,75
206,172
206,174
206,246
206,248
207,30
207,33
207,73
207,76
207,172
207,174
207,245
207,248
208,31
208,33
208,74
208,76
208,172
208,174
208,245
208,247
209,31
209,33
209,74
209,76
209,171
209,173
209,244
209,246
210,32
210,34
210,74
210,77
210,170
210,173
210,243
210,244
210,246
211,32
211,34
211,35
211,75
211,77
211,169
211,172
211,243
211,246
212,32
212,36
212,37
212,75
212,77
212,168
212,171
212,241
212,242
212,245
213,33
213,34
213,37
213,38
213,39
213,75
213,77
213,167
213,170
213,240
213,241
213,244
214,34
214,35
214,36
214,40
214,41
214,75
214,77
214,166
214,169
214,239
214,240
214,243
215,36
215,37
215,38
215,42
215,43
215,75
215,78
215,164
215,165
215,168
215,238
215,239
215,242
216,39
216,40
216,44
216,75
216,78
216,163
216,167
216,237
216,238
216,241
217,41
217,42
217,45
217,76
217,78
217,162
217,165
217,166
217,236
217,240
218,42
218,43
218,46
218,76
218,78
218,160
218,161
218,164
218,165
218,234
218,235
218,238
218,239
219,43
219,44
219,47
219,76
219,78
219,159
219,160
219,163
219,232
219,233
219,236
219,237
219,238
220,44
220,45
220,48
220,76
220,79
220,158
220,162
220,229
220,230
220,231
220,235
221,45
221,46
221,48
221,49
221,77
221,79
221,157
221,158
221,160
221,161
221,228
221,229
221,232
221,233
221,234
222,46
222,49
222,50
222,77
222,80
222,154
222,155
222,156
222,157
222,160
222,225
222,226
222,227
222,230
222,231
222,232
223,47
223,51
223,52
223,53
223,78
223,80
223,151
223,152
223,153
223,158
223,159
223,223
223,224
223,228
223,229
224,48
224,49
224,50
224,54
224,55
224,78
224,81
224,146
224,147
224,148
224,149
224,150
224,154
224,155
224,156
224,157
224,220
224,221
224,222
224,226
224,227
225,51
225,52
225,56
225,57
225,78
225,79
225,81
225,136
225,137
225,142
225,143
225,144
225,145
225,151
225,152
225,153
225,218
225,219
225,223
225,224
225,225
226,53
226,54
226,58
226,59
226,79
226,82
226,83
226,124
226,125
226,126
226,127
226,128
226,129
226,130
226,131
226,132
226,133
226,138
